app_id,app_id_categorical
1127170,8478
429680,3699
397950,3349
308600,2121
597170,5261
870780,7079
544330,4753
435790,3775
705220,6062
640590,5628
1483870,10066
1024890,7903
730,24
1124180,8467
1003480,7783
1426210,9890
1781350,10845
1466640,10018
1147550,8602
666140,5798
1927740,11112
1016920,7858
448510,3925
220200,943
255710,1419
728880,6207
1927720,11111
673610,5848
535930,4701
997010,7753
588650,5193
933110,7409
255300,1413
1568590,10339
304390,2064
495420,4346
1583320,10387
1755680,10798
674940,5862
1727650,10742
365670,2924
559650,4905
1046770,8029
1482620,10060
291550,1889
792220,6622
240,10
2630,58
50,4
1069740,8167
1030830,7933
412020,3509
70,6
350080,2691
205100,762
603850,5330
227300,1028
130,8
394360,3301
287390,1832
10180,191
203140,734
286690,1824
1241700,9144
337320,2502
928960,7390
207140,790
1484280,10067
685240,5923
611500,5398
231160,1065
230230,1055
517710,4552
264710,1548
248820,1296
249050,1299
454120,3999
281990,1748
726910,6189
1295500,9410
9200,173
233130,1083
420,17
392160,3273
237990,1154
1158310,8671
234140,1104
332500,2447
423230,3627
366870,2941
633030,5574
1003590,7784
513710,4521
1069530,8162
233450,1092
527430,4634
449960,3954
300060,1998
1794680,10872
548430,4799
334540,2478
268500,1593
1020340,7882
233610,1096
1226510,9063
261110,1483
262060,1496
504370,4432
1137460,8538
1599340,10438
1057850,8090
22120,315
747340,6339
326460,2358
71250,614
1299120,9427
424840,3642
570940,5002
1049590,8047
311210,2138
493520,4330
1063730,8128
359550,2829
999220,7762
736570,6255
1138960,8546
1203220,8931
871720,7085
729040,6210
848450,6948
1233570,9099
57300,562
257510,1433
400,16
632360,5572
1227690,9068
1131190,8505
1172620,8760
210970,837
219890,937
367520,2949
1255980,9204
1625450,10515
1385730,9740
1504020,10137
420530,3601
1245620,9159
677620,5881
594330,5234
290470,1874
1554400,10295
282140,1754
287980,1839
334230,2473
814380,6754
223710,981
17480,272
1408720,9822
33230,404
239200,1178
483980,4233
1657630,10581
750920,6363
843380,6916
398100,3352
1281930,9347
1332010,9528
17410,268
1205960,8947
22180,316
620,22
1217060,9007
1466860,10020
924970,7366
979690,7663
305620,2079
323190,2316
242700,1210
1517290,10181
485980,4257
312660,2162
298110,1969
1238820,9127
244450,1241
252110,1357
1239080,9133
1551360,10286
2620,57
1088850,8256
539470,4722
393380,3286
7940,156
627270,5529
1029690,7927
790740,6608
934780,7416
270150,1627
563560,4940
682990,5911
1338770,9557
233860,1101
1030840,7934
1178830,8807
1238840,9128
48000,535
108710,686
683320,5914
474960,4196
213670,868
202750,732
489830,4292
638230,5612
238320,1162
304430,2066
582160,5119
383870,3154
675010,5863
9350,176
322500,2310
428750,3684
24780,340
50130,550
35720,437
221640,960
249990,1308
219150,928
366250,2934
287260,1829
267920,1585
282030,1750
39530,462
55110,555
65790,598
262830,1513
433340,3739
973810,7617
632470,5573
361280,2859
502520,4411
644930,5656
409720,3482
464920,4115
507010,4450
320240,2277
261570,1489
1057090,8082
287700,1836
1388880,9752
55230,558
778400,6534
385800,3184
698780,6011
365070,2914
391540,3264
738060,6261
429720,3701
927270,7382
1382330,9724
49520,544
1196590,8894
582010,5118
